"Neighborhoods","Periods","CrimeType_Category","total_crime_sum"
"BU03631004","Oct2021","Smuggling",0
"BU03631004","Oct2021","Total",2
"BU03631004","Oct2021","Violence",1
"BU03631004","Sept2021","Environment",0
"BU03631004","Sept2021","Inappropriateness",0
"BU03631004","Sept2021","Other",1
"BU03631004","Sept2021","Robbery/Theft",1
"BU03631004","Sept2021","Smuggling",0
"BU03631004","Sept2021","Total",3
"BU03631004","Sept2021","Violence",1
"BU03631005","Apr2021","Environment",0
"BU03631005","Apr2021","Inappropriateness",2
"BU03631005","Apr2021","Other",0
"BU03631005","Apr2021","Robbery/Theft",1
"BU03631005","Apr2021","Smuggling",0
"BU03631005","Apr2021","Total",7
"BU03631005","Apr2021","Violence",4
"BU03631005","Aug2021","Environment",0
"BU03631005","Aug2021","Inappropriateness",2
"BU03631005","Aug2021","Other",1
"BU03631005","Aug2021","Robbery/Theft",1
"BU03631005","Aug2021","Smuggling",0
"BU03631005","Aug2021","Total",6
"BU03631005","Aug2021","Violence",2
"BU03631005","Dec2021","Environment",0
"BU03631005","Dec2021","Inappropriateness",2
"BU03631005","Dec2021","Other",0
"BU03631005","Dec2021","Robbery/Theft",1
"BU03631005","Dec2021","Smuggling",0
"BU03631005","Dec2021","Total",7
"BU03631005","Dec2021","Violence",4
"BU03631005","Feb2021","Environment",0
"BU03631005","Feb2021","Inappropriateness",0
"BU03631005","Feb2021","Other",0
"BU03631005","Feb2021","Robbery/Theft",0
"BU03631005","Feb2021","Smuggling",1
"BU03631005","Feb2021","Total",4
"BU03631005","Feb2021","Violence",2
"BU03631005","Jan2021","Environment",0
"BU03631005","Jan2021","Inappropriateness",0
"BU03631005","Jan2021","Other",0
"BU03631005","Jan2021","Robbery/Theft",0
"BU03631005","Jan2021","Smuggling",1
"BU03631005","Jan2021","Total",2
"BU03631005","Jan2021","Violence",1
"BU03631005","July2021","Environment",0
"BU03631005","July2021","Inappropriateness",0
"BU03631005","July2021","Other",0
"BU03631005","July2021","Robbery/Theft",1
"BU03631005","July2021","Smuggling",0
"BU03631005","July2021","Total",9
"BU03631005","July2021","Violence",8
"BU03631005","June021","Environment",0
"BU03631005","June021","Inappropriateness",1
"BU03631005","June021","Other",0
"BU03631005","June021","Robbery/Theft",2
"BU03631005","June021","Smuggling",0
"BU03631005","June021","Total",7
"BU03631005","June021","Violence",4
"BU03631005","May2021","Environment",0
"BU03631005","May2021","Inappropriateness",1
"BU03631005","May2021","Other",1
"BU03631005","May2021","Robbery/Theft",2
"BU03631005","May2021","Smuggling",0
